R0,mu,Rb,chi2
Bq,1/sheets,Bq,null
15.3,0.3,0.105,0.74
15.4,0.3,0.105,0.776
15.2,0.3,0.105,0.723
15.1,0.3,0.105,0.726
15.2,0.301,0.105,0.701
15.2,0.302,0.105,0.708
15.2,0.301,0.106,0.702
15.2,0.301,0.104,0.703
15.2,0.301,0.105,0.701
16.3,0.301,0.105,1.702
14.3,0.301,0.105,1.658
15.2,0.31,0.105,1.766
15.2,0.293,0.105,1.702
15.2,0.301,0.13,1.734
15.2,0.301,0.083,1.745
