$type,x1,u[x1],x2,u[x2],m1,u[m1],m2,u[m2]
,m,m,m,m,kg,kg,kg,kg
small,0.158,0.001,0.143,0.0015,0,0.00028868,0.217,0.0075
large,0.158,0.001,0.106,0.001,0,0.00028868,0.73,0.0125
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
