V,u[V],I,u[I]
V,V,mA,mA
0.11,0.01,0.08,0.01
0.20,0.01,0.17,0.01
0.31,0.01,0.23,0.01
0.41,0.01,0.32,0.01
0.49,0.01,0.41,0.01
0.61,0.01,0.48,0.01
0.72,0.01,0.54,0.01
0.81,0.01,0.62,0.01
0.88,0.01,0.68,0.01
1.01,0.01,0.77,0.01
1.1,0.01,0.85,0.01
1.21,0.01,0.93,0.01
1.29,0.01,1.0,0.01
1.4,0.01,1.108,0.01
1.5,0.01,1.17,0.01
